Timestamp,Temperature,Pressure,Tank_Level,Flow_Rate,Heater,Mixer_Motor,Inlet_Valve,Outlet_Valve,Temp_Setpoint,Pressure_Setpoint,Alarms,Cycle_Count
2026-04-27 22:33:34.704,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:35.718,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:36.731,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:37.746,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:38.762,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:39.801,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:40.823,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:41.947,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:43.032,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:44.173,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:45.307,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:46.444,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:47.564,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:48.689,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:49.816,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:50.933,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:52.046,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:53.180,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:54.308,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:55.433,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:56.569,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:57.697,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:58.843,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:33:59.929,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:01.043,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:02.193,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:03.242,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:04.357,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:05.473,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:06.588,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:07.709,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:08.827,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:09.952,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:11.071,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:12.198,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:13.317,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:14.440,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:15.564,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:16.690,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:17.813,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:18.941,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:20.066,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:21.192,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:22.320,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:23.436,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:24.569,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:25.643,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:26.756,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:27.877,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:29.005,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:30.140,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:31.264,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:32.395,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:33.517,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:34.660,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:35.799,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:36.937,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:38.065,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:39.185,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:40.198,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:41.214,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:42.230,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:43.243,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:44.258,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:45.273,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:46.301,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:47.412,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:48.552,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:49.685,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:50.825,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:51.955,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:53.103,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:54.237,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:55.373,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:56.506,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:57.646,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:58.782,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:34:59.923,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:01.061,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:02.201,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:03.344,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:04.479,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:05.615,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:06.754,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:07.897,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:09.031,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:10.155,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:11.287,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:12.420,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:13.555,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:14.691,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:15.826,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:16.961,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:18.097,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:19.235,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:20.368,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:21.501,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:22.634,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:23.779,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:24.914,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:26.052,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:27.189,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:28.318,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:29.456,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:30.594,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:31.733,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:32.882,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:34.009,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:35.156,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:36.289,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:37.438,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:38.574,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:39.709,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:40.853,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:41.969,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:43.086,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:35:44.216,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:42:39.661,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:42:40.676,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:42:41.690,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:42:42.704,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
2026-04-27 22:42:43.718,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0x0000,0
